variable,contrast,group1,group2,taxon_id,mean_diff_clr,standardized_diff,coordinate_stat,valid_taxon,taxon
EBF duration,EBF duration,0 months,>=2 months,Streptococcus,0.6398077237309776,0.4396204784216917,23.416951857090275,TRUE,Streptococcus
EBF duration,EBF duration,0 months,>=2 months,Lachnospiraceae_ND3007_group,-0.11428176773202214,-0.4298238321086102,22.38491850412026,TRUE,Lachnospiraceae_ND3007_group
EBF duration,EBF duration,0 months,>=2 months,Terrisporobacter,0.522149958018828,0.4139037380307873,20.757413230842975,TRUE,Terrisporobacter
EBF duration,EBF duration,0 months,>=2 months,[Eubacterium]_coprostanoligenegroup,-0.16120755792532437,-0.4059237656981851,19.964732312943493,TRUE,[Eubacterium]_coprostanoligenegroup
EBF duration,EBF duration,0 months,>=2 months,[Clostridium]_innocuum_group,0.7691717753479548,0.3936847921753486,18.778971857380224,TRUE,[Clostridium]_innocuum_group
EBF duration,EBF duration,0 months,>=2 months,Pseudomonas,-0.15034340360984866,-0.3877487932242546,18.216940660958237,TRUE,Pseudomonas
EBF duration,EBF duration,0 months,>=2 months,Cutibacterium,-0.2217269012992633,-0.3876100331907441,18.20390474160191,TRUE,Cutibacterium
EBF duration,EBF duration,0 months,>=2 months,Scardovia,-0.2872264705072095,-0.38288267407028204,17.762576558985486,TRUE,Scardovia
EBF duration,EBF duration,0 months,>=2 months,Corynebacterium,-0.47068675440964247,-0.3727471048714127,16.834611247752868,TRUE,Corynebacterium
EBF duration,EBF duration,0 months,>=2 months,Haemophilus,-0.8148981756290173,-0.37171379015034084,16.741404138113555,TRUE,Haemophilus
EBF duration,EBF duration,0 months,>=2 months,Blautia,0.39801795112809835,0.3657687206276913,16.210173398787205,TRUE,Blautia
EBF duration,EBF duration,0 months,>=2 months,Lachnoanaerobaculum,-0.11445315193881267,-0.36381328992128587,16.03731476282462,TRUE,Lachnoanaerobaculum
EBF duration,EBF duration,0 months,>=2 months,Lachnospira,-0.12968596765983642,-0.3545456744144916,15.230666770558738,TRUE,Lachnospira
EBF duration,EBF duration,0 months,>=2 months,Brevundimonas,-0.14353524154376163,-0.3503199587386702,14.86977153982093,TRUE,Brevundimonas
EBF duration,EBF duration,0 months,>=2 months,Dolosigranulum,-0.22511584344621305,-0.35000107694315946,14.842713182210392,TRUE,Dolosigranulum
EBF duration,EBF duration,0 months,>=2 months,Bacteroides,-0.872640849891567,-0.34739676674485837,14.622649768399747,TRUE,Bacteroides
Sex,Sex,Female,Male,Actinotignum,-0.1179618778674395,-0.2571962760963736,9.789741857851716,TRUE,Actinotignum
Sex,Sex,Female,Male,Faecalitalea,-0.17082188569927004,-0.23407825426096565,8.108938888976459,TRUE,Faecalitalea
Sex,Sex,Female,Male,Anaerococcus,-0.16684704824054675,-0.22122126738697964,7.242619005457005,TRUE,Anaerococcus
Sex,Sex,Female,Male,Atopobium,0.2291069977757907,0.21041218341794826,6.552147321914217,TRUE,Atopobium
Sex,Sex,Female,Male,Megamonas,-0.07724006000224426,-0.18870272879294472,5.269849938919269,TRUE,Megamonas
Sex,Sex,Female,Male,Bilophila,-0.14342291174663668,-0.18345764460667952,4.980965279780452,TRUE,Bilophila
Sex,Sex,Female,Male,Intestinibacter,0.3864084307821929,0.17471731986245387,4.517662737552746,TRUE,Intestinibacter
Sex,Sex,Female,Male,Turicibacter,-0.07299832036948739,-0.1717553755272942,4.365787211623623,TRUE,Turicibacter
Sex,Sex,Female,Male,Collinsella,-0.390290766521447,-0.16870170003956297,4.2119267131649725,TRUE,Collinsella
Sex,Sex,Female,Male,Clostridium_sensu_strict18,-0.09707898531613102,-0.16634557894177687,4.095099076540549,TRUE,Clostridium_sensu_strict18
Sex,Sex,Female,Male,Veillonella,0.41581907880904345,0.16462776004841873,4.010957184382391,TRUE,Veillonella
Sex,Sex,Female,Male,Christensenellaceae_R-7_group,-0.05754085152239008,-0.16319980981483317,3.941678372030817,TRUE,Christensenellaceae_R-7_group
Sex,Sex,Female,Male,Slackia,-0.09763339751584155,-0.16262990154118034,3.914197055564627,TRUE,Slackia
Sex,Sex,Female,Male,24_Enterobacteriaceae(F),0.4572548591991574,0.15924858897811908,3.75312538542976,TRUE,24_Enterobacteriaceae(F)
Sex,Sex,Female,Male,Prevotella,-0.14755218432916029,-0.1567146230252633,3.634636071967049,TRUE,Prevotella
Sex,Sex,Female,Male,Clostridia_UCG-014,-0.07282910974460755,-0.15199988701914666,3.4192308088912964,TRUE,Clostridia_UCG-014
Sex,Sex,Female,Male,Incertae_Sedis,-0.12709167620916073,-0.15047265639221755,3.350866020992299,TRUE,Incertae_Sedis
Sex,Sex,Female,Male,Coprobacillus,-0.09153128289897439,-0.14876778906090227,3.275365009624999,TRUE,Coprobacillus
Sex,Sex,Female,Male,Rothia,0.3017843458057228,0.13145354563974776,2.5573283728757104,TRUE,Rothia
Sex,Sex,Female,Male,Escherichia-Shigella,0.2601661155859585,0.12989728844547557,2.4971352119108348,TRUE,Escherichia-Shigella
Siblings,Siblings,0,>=1,Lachnospiraceae_NK4A136_group,0.28983892778382203,0.5823301559321664,14.172439375146682,TRUE,Lachnospiraceae_NK4A136_group
Siblings,Siblings,0,>=1,Delftia,0.4115087417052723,0.5336061031602365,11.900018131889002,TRUE,Delftia
Siblings,Siblings,0,>=1,Blastococcus,0.15302150920557656,0.4713990834099336,9.287172542232026,TRUE,Blastococcus
Siblings,Siblings,0,>=1,Peptostreptococcus,0.2119994738078601,0.40314976192591867,6.79264412610601,TRUE,Peptostreptococcus
Siblings,Siblings,0,>=1,Collinsella,-0.9315550383209978,-0.4030730983797225,6.790060973526923,TRUE,Collinsella
Siblings,Siblings,0,>=1,Streptococcus,0.5579780226547104,0.37042018464285115,5.734497060632051,TRUE,Streptococcus
Siblings,Siblings,0,>=1,Flavonifractor,0.41238832529997205,0.36042362716020354,5.429158897662033,TRUE,Flavonifractor
