SampleID,PCo1,PCo2,PCo3,PCo4,PCo5,distance
s025647,0.20874300469814774,-0.14810785563962095,0.13234945232135617,-0.051519214758083916,-0.26231434092042333,Bray--Curtis
s023779,-0.18318359413079416,-0.020894499403311204,-0.02000522634303316,0.029273649657786803,-0.06160824633980796,Bray--Curtis
s026625,-0.22123136757785203,0.009783159383381342,-0.02141449822678516,0.043086073943790174,-0.020489984669035267,Bray--Curtis
s022898,0.3999839227290329,0.3249188625198854,0.41032051015873133,0.13052855312872896,-0.043364835073816735,Bray--Curtis
s022897,-0.18835463009837042,-0.005327002262872298,-0.029394091717787316,0.029867856653726512,-0.008570364535480655,Bray--Curtis
s028386,0.07385222496733415,0.18819976082402876,0.24028672055632577,-0.044000335076654996,0.04628501535522721,Bray--Curtis
s023716,0.1101867103025254,-0.22680012056023538,0.04947736324441921,-0.120856577447682,-0.06021532837628395,Bray--Curtis
s021517,0.2977693534039615,-0.021104396573200943,-0.08029355472427575,-0.03382862569587195,0.1624609762673227,Bray--Curtis
s021703,0.2796657906545337,0.2704016041436999,0.40514138762910656,0.03607271357992876,-0.02464261211094987,Bray--Curtis
s022787,0.1881231926275415,0.3009956717170969,0.10255542958248808,-0.05722350129192412,0.03964927266127475,Bray--Curtis
s027576,0.05436431688605445,0.06141384468040999,-0.042785152719879045,-0.1207654180135592,0.10660227452587538,Bray--Curtis
s024828,0.31766024366870643,0.18430462530973113,0.04125098416120488,-0.13570360013500443,0.12127554133080941,Bray--Curtis
s028162,-0.1366559558940899,-0.07059880005786884,-0.007134055087149327,0.06460940035616133,0.0865450846171423,Bray--Curtis
s022232,0.37728788463523283,0.258333732168146,0.4418801552617202,0.019522455338522614,-0.13786161896936194,Bray--Curtis
s026135,-0.22167640010267467,0.01867012090334452,-0.026427690829960583,0.04406110096637708,-0.017682426721866613,Bray--Curtis
s026440,0.24164690387545054,0.09722254074864962,0.3127121573299118,-0.10263891318878346,0.10742770675355567,Bray--Curtis
s023225,0.19912211088502577,0.26535169242612966,0.3450430897655306,-0.0352194426739157,-0.008485872542289434,Bray--Curtis
s025269,0.28620432267162577,0.3323662600636423,0.11796736661613813,-0.08094114466133889,0.005492364440500645,Bray--Curtis
s027852,-0.1752129876177619,0.08349736003253727,0.06785051532204778,0.04607852874339802,-0.02500213030270936,Bray--Curtis
s027078,-0.03488562390164886,0.027980889841747514,-0.0906889318545884,-0.03704036793734265,-0.029085033219267233,Bray--Curtis
s023179,0.6027714981485046,0.46671607901284257,0.013724745035381335,0.05876575702546082,0.09919348219368034,Bray--Curtis
s028972,-0.18761015015807223,-0.019392009052724025,-0.02243574386265451,0.021346713931072403,0.023415986660722386,Bray--Curtis
s025044,-0.10196578638854636,-0.019727481554839447,-0.006449055670570618,-0.023025889842594606,-0.05538937183896354,Bray--Curtis
s021317,0.024314089327543663,0.12007068672965984,0.24664597828195534,0.05618793931269663,0.04799122287861225,Bray--Curtis
s021923,-0.18105211050888892,0.030835169718511548,-0.052898872358066326,0.02117248443403493,-0.017264731319286953,Bray--Curtis
s024892,0.16856629105846768,-0.13662872174444401,0.15061860711467592,-0.033252068723067775,-0.16304284261562468,Bray--Curtis
s029001,0.0060288448245055535,0.09328338904022308,0.20600238188739475,0.09176331001368886,0.07896156732938037,Bray--Curtis
s021931,-0.16411192716694092,-0.021945656512382703,-0.026352249342398427,0.01149836513220324,0.03640914147495942,Bray--Curtis
s021400,0.04024494117334117,-0.028912746645885508,-0.09988894560663211,-0.11849058315234255,0.06985967706067756,Bray--Curtis
s024280,-0.16152129050098266,0.01779604577050363,-0.05247712433288084,0.009520771227310355,0.006388157042643842,Bray--Curtis
s029985,-0.1869506524374884,-0.001602350128123085,-0.01567088289617455,0.018767570725597465,-0.016419511010495772,Bray--Curtis
s024301,-0.08337940347972161,0.07803030712176004,-0.12824081709947066,-0.02138017147304319,-3.5873448904890753e-4,Bray--Curtis
s026048,0.078521298420502,-0.15414012985917042,0.0024062998536224494,-0.09603384865861199,-0.014535485356343211,Bray--Curtis
s021300,0.03528626347940013,0.14855830701611966,0.2277839645601102,-0.04804249116247511,0.04674067885411422,Bray--Curtis
s022639,-0.12425998684093968,-0.1050207343647044,-7.124423177825889e-4,-0.08505697758504731,0.13732453724117455,Bray--Curtis
s022844,-0.15430620923404298,0.03689608996331155,-0.05098239835837386,0.005822313933378847,-0.003733875481085484,Bray--Curtis
s028273,0.07778225157588187,-0.16191423537095623,0.06218790505655256,0.153315951466554,0.12521430010523962,Bray--Curtis
s025531,-0.2189382969996758,0.014923653460740944,-0.027734996155913356,0.04475417350895233,-0.013365444500369715,Bray--Curtis
s025738,0.24016128200065978,-0.07727025560770949,0.007415362483958445,-0.14319950630833814,-0.0015425531932739401,Bray--Curtis
s022799,-0.14893317334222742,-0.06354648365548118,-0.01427737194204164,0.12126604501661777,0.03915793902708422,Bray--Curtis
s023972,0.3158213932925925,-0.2561153693761065,0.11354330809560792,-0.09736191136485221,0.1593860942623957,Bray--Curtis
s024476,-0.15005761349181107,-0.056836855428253515,-0.047333211086051166,0.015136008764108182,-0.040367320903945375,Bray--Curtis
s029469,-0.11297321210478987,-0.07841154241752114,0.009146210226503774,0.02592667671657825,-0.17968182343244024,Bray--Curtis
s024464,-0.1990673348972574,3.879917388224749e-4,-0.012330229938614056,0.036168635147732525,-0.04457109410267648,Bray--Curtis
s026905,-0.14692091435124247,-0.005182126832966167,-0.04117876193211086,-0.0040550486024759245,0.03319531656376639,Bray--Curtis
s026517,0.00901802474469794,-0.1779681248799449,0.014389264188952105,-0.1548702353597141,0.13647908232887232,Bray--Curtis
s029830,0.2207227186486066,-0.23620542437478362,0.07784898413585546,-0.21901135373930852,0.2133295466313925,Bray--Curtis
s026017,-0.213771161284678,2.9030843220058145e-4,-0.017972674648751453,0.07446005739783525,-0.004999182256994544,Bray--Curtis
s021768,-0.2179297125208081,0.004136057808798781,-0.020512867520473016,0.06959413094516884,-0.0068809415822260874,Bray--Curtis
s028258,-0.06599801953618056,-0.0974429416259839,0.023815925400071006,0.002385365214713367,-0.16511653691029282,Bray--Curtis
s025156,0.1706404219090019,-0.129148389700933,0.06285690667500936,-0.22742396411963584,0.13996716525811675,Bray--Curtis
s026018,-0.1258256719076466,-0.054234755260395756,-0.031747339683678315,-0.00800627726706396,-0.048278073738416506,Bray--Curtis
s023827,-0.17731568667658154,0.059837810325561826,1.2135740581423657e-4,0.029108366250100364,-0.016537874265702874,Bray--Curtis
s028790,0.5309214461054892,0.02412814292306687,-0.3281569520003821,-0.003298821822081138,-0.1597539072738464,Bray--Curtis
s027530,-0.2015852800913568,-0.004341645695554643,-0.020013037563907276,0.02759495975688341,-0.031696757140705155,Bray--Curtis
s026882,-0.08097491456236798,-0.07627187997123391,-0.033470675309418656,-0.01940182719938704,-0.0685820858968079,Bray--Curtis
s025568,0.41739652072702194,-0.17638031475832447,-0.0736104776052079,-0.13919951185706453,-0.11727063900084246,Bray--Curtis
s027339,0.2858232190995471,0.16762377352209734,0.3781349025305175,-0.07207295281034644,0.1069345130540778,Bray--Curtis
s021412,0.0493732625794452,-0.20293149748924447,0.07090565973915451,-0.024320110098742166,0.24056140601487963,Bray--Curtis
s026522,0.5566458349839501,-0.02970687470293403,0.2576327623082582,0.4791388933493278,0.2193900930256034,Bray--Curtis
s028181,-0.12424968431614017,-0.03625581564962513,4.885036796667462e-4,-0.0154071723984274,-0.04372670839220278,Bray--Curtis
s026840,-0.14719470943168803,0.03645546558912694,-0.07072414114186103,0.003971043739439267,0.006804009680452209,Bray--Curtis
s026069,-0.16262155666361633,-0.02512132980048109,-0.030627281622452884,0.0135515576357932,-0.02931494385499371,Bray--Curtis
s025437,0.2454092511283933,0.27506083692765315,0.3610792801585953,-0.006987816479079281,-0.01793655994174884,Bray--Curtis
s029672,0.10143846057954412,0.16721649604220032,0.28795112185029376,-0.06451430503109766,-0.04391076025968903,Bray--Curtis
s021915,0.008985636725989296,-0.0022991036528497897,0.14086765396201806,-0.03336907502295979,0.13314631427934104,Bray--Curtis
s023781,-0.15862573438881486,0.014455057495750878,0.039759969674611186,0.019461731331920577,-0.07339738109033722,Bray--Curtis
s023904,0.5873470243737577,0.16339290901364,0.18433247871360323,-0.13576657368267203,0.16424666285731584,Bray--Curtis
s025969,-0.10380448732053431,-0.08638046536437873,-0.03857003681375941,-0.01092703475174124,-0.03557020403814265,Bray--Curtis
s023975,-0.14595401298749305,-0.023095562526275207,0.016103125933833642,-0.015316437151849249,-0.05635572164080236,Bray--Curtis
s021759,0.46789182450242744,-0.11880958036204563,-0.034490640958818077,-0.09556145744605088,-0.17979947673510954,Bray--Curtis
s025735,-0.1822310136239376,0.011364935785993792,0.0026216617412022306,0.07445822951807282,0.009742409581345816,Bray--Curtis
s024067,-0.07725020975935522,0.16640458533525998,0.16473172616627918,0.024425272363486808,0.017463541998712865,Bray--Curtis
s024684,0.19962327189854784,0.2448696873922171,0.30968543666083514,-0.05515800522635943,2.5687607372538236e-4,Bray--Curtis
s022988,0.048041825499433505,0.05052097166272656,-0.1355049617255291,0.012993048192585453,0.039737575835155366,Bray--Curtis
s026328,0.4700855012671362,0.07159108658499592,-0.23546896721198515,-0.07929460118897018,0.17643506429389122,Bray--Curtis
s028559,0.08668069690083029,-0.1694346673015828,0.05962917814176088,-0.05329963334598757,-0.17560058488948702,Bray--Curtis
s023426,0.6332358549351795,-6.432577475594876e-4,-0.30412576221047877,0.3245275637161043,0.30882054951797827,Bray--Curtis
s021801,-0.1262503466393551,0.014338664219906835,-0.05550278315566576,-0.01453745280082245,0.03317574509762221,Bray--Curtis
s027440,0.03477349446922835,-0.19461699835292254,0.07640995685601973,0.13750795189311732,0.24221135107330125,Bray--Curtis
s025818,-0.189156520811064,-5.004992532128636e-4,-0.028677968160936044,0.026924999208262957,-0.001201748624874579,Bray--Curtis
s025760,0.4354416947833971,-0.21151521569666035,-0.06394069837806708,0.08278467982127785,-0.40758461662111545,Bray--Curtis
s022291,-0.1725079287211327,0.002462746328917165,0.00306737799364191,-0.0034697807979737214,-0.06046974759065721,Bray--Curtis
s027961,0.009812327368821617,-0.15794807500738922,0.059760226699956356,0.17307041013144198,0.1897911986082227,Bray--Curtis
s027770,-0.012751224587682696,0.13379399406918946,-0.18723441784952033,-0.03993955700832199,0.028531368932005283,Bray--Curtis
s027791,-0.020625827922332304,0.19264526598847392,0.22450964196921278,-0.019440243138629635,-0.0016791223103251407,Bray--Curtis
s028011,0.02965864167549146,-0.08757238722917166,2.3345222845210452e-4,0.02523899257292133,0.05263893627903534,Bray--Curtis
s021014,-0.21460592858962532,0.009052255821492864,-0.00789548150972662,0.02986017061623476,-0.02229274129938788,Bray--Curtis
s025403,-0.21027198777695127,0.004420508563991186,-0.01737821649576962,0.04085503432398409,-0.01918049064720383,Bray--Curtis
s026903,0.23423843856495938,0.22151692767349723,0.3758181284527461,-0.03542388547350431,0.029810410245567038,Bray--Curtis
s028861,0.3034419579999146,-0.11082518535219449,-0.04422878153454137,-0.06166480031507056,-0.04411649653368675,Bray--Curtis
s029486,-0.11843131197343108,-0.06655722435689493,-0.019059560520547306,-0.06445192349510236,0.10286217121485008,Bray--Curtis
s027197,0.152948768464542,-0.16849275931504923,0.0926484910836844,-0.21662771445953244,0.169921235416174,Bray--Curtis
s029928,0.17871075778819295,-0.027988375468007372,-0.08838223665152461,-0.20126227118368092,0.2036594867513967,Bray--Curtis
s021684,0.24687211111786272,-0.10584011547087113,0.08021203403729692,-0.04284405342738862,-0.10542733291557674,Bray--Curtis
s022292,-0.19776515149098745,0.055210413128622494,0.005720516752904388,0.05159425575629451,-0.010055354798768535,Bray--Curtis
s023684,0.045032461685961464,-0.13949070291617402,0.06505354386152422,-0.09906652343390543,-0.21482927379573816,Bray--Curtis
s028708,0.11253248964687931,0.05735135292105044,-0.1678750830892896,-0.10783836063958327,-0.022721774653421335,Bray--Curtis
s026387,-0.15228617422687604,0.0885382873628401,0.05414969525510649,0.03326172149565174,-0.00944751955636492,Bray--Curtis
s029185,-0.18671136474126082,-0.005491913412267473,-0.029446474187435928,0.020194936715676168,0.011374024254478223,Bray--Curtis
s022273,0.3559597587941874,-0.09766507803095573,0.23776614648088865,0.2974171755786898,-0.0759245790615112,Bray--Curtis
s022822,-0.02558191328785744,0.04403267965793644,-0.1317997521375945,-0.08272886035230174,0.08950615188666462,Bray--Curtis
s023038,-0.031825274739972716,0.05360089534961852,0.11796544717092432,0.007082736349491524,0.0021503086611488788,Bray--Curtis
s022137,0.5514061811615789,0.27948837062058685,0.34083048064102955,0.004306478110196903,-0.27448794864810594,Bray--Curtis
s023934,0.07773379874082602,0.04935193009613723,0.06122790565036843,-0.08003143296304563,0.15331002280792974,Bray--Curtis
s022375,-0.18130038784915004,-0.03301375390906339,-0.03362690718412245,0.026351669224775193,-0.02246371169847471,Bray--Curtis
s029307,-0.14608093534031125,1.7893662212134677e-4,-0.03354139352890367,8.774988570801785e-5,-0.026992061838412598,Bray--Curtis
s021611,-0.18455800878908898,-0.017407127098675704,-0.0029546389079536987,0.004134242848188131,-0.0691350417747535,Bray--Curtis
s025976,-0.1605506410679012,-0.054011499084636004,-0.003476221095473258,0.1795493543478734,0.05565324730555973,Bray--Curtis
s026264,0.16732511087315774,0.2081167415462077,-0.1573016517689945,-0.07408147877641119,0.023112729817815997,Bray--Curtis
s028248,-0.07514401460766013,0.02903394006292222,-0.009913579213225812,-0.03728332773090389,0.04887887548067134,Bray--Curtis
s024616,0.3847493296443074,0.07575411280050068,0.31078679712870266,0.08111547739117701,-0.16911490300112456,Bray--Curtis
s028451,0.3594036225870733,0.3515594109468754,0.228885952197943,-0.03920927752929567,0.005539421731432643,Bray--Curtis
s021820,-0.021896773257283193,-0.03598970492471291,0.11061396173666468,0.23921148088512575,0.11703249030755067,Bray--Curtis
s022654,-0.12245069467033848,-0.031017752864995803,-0.06850003100141389,-0.0020401745752532817,-0.05289622778103797,Bray--Curtis
s026209,-0.18555175989194217,-0.015502429211498114,-0.021007153730057983,0.036336514705007705,0.0015422617536768762,Bray--Curtis
s026788,-0.1552199661228569,0.10628968992143331,0.08620515196051515,0.07269636256251369,0.0046155371772761645,Bray--Curtis
s028068,0.5793551481922331,0.25260258746732767,-0.47245910478865494,0.04654152005578424,-0.01452617895402836,Bray--Curtis
s029427,0.07993173129834082,0.11935221421217052,0.17816916794127885,-0.08023096317052515,0.07551996941478357,Bray--Curtis
s028978,-0.20890185443078246,0.03247625033192018,-0.0011626515984247787,0.037173448484627544,-0.018367610986920944,Bray--Curtis
s023919,0.11312055616597452,-0.11536967585839748,0.021562632521571194,-0.06979112431871189,-0.21770918301808914,Bray--Curtis
s022548,0.23756847666539563,-0.11241085517994984,0.018799421192717793,-0.25269592265669877,0.13229656956527683,Bray--Curtis
s026169,0.00910470719765102,-0.040959712378656,7.472802016176403e-5,-0.02684597009180212,0.02960810948248964,Bray--Curtis
s029487,-0.14145023839519238,0.002554746275727568,-0.02116584973782634,0.014515536574326124,0.0011609655574927715,Bray--Curtis
s024748,0.41245411067510246,-0.2969203523792397,0.06272663744217044,0.2357983005660401,-0.1387936193680031,Bray--Curtis
s021452,-0.20097728612886234,-8.115534975932326e-4,-0.025185561095122596,0.036763878578161976,-0.001085173857462935,Bray--Curtis
s029417,0.41488660700473884,0.24252446124509305,-0.3277821969767892,0.0041117731765686096,-0.022420328194008524,Bray--Curtis
s025469,0.21868319665263455,0.08116047093255307,0.23801640589182255,-0.0307632964793773,-0.0645957933390861,Bray--Curtis
s024565,0.04237979410202301,-0.11548868063866757,0.0068188013586294284,-0.06961791142043129,-0.1595557463035379,Bray--Curtis
s022573,0.09607985048116693,0.03899343501282252,0.2316593584694439,0.10769970983089457,0.14115715856842703,Bray--Curtis
s024580,-0.03982841211667421,0.040150012303063115,-0.019881165224256706,-0.06592266323903138,0.07106555700117757,Bray--Curtis
s024715,-0.07465173118484156,-0.10349649851955772,0.03168385581765378,0.23490025166648312,0.1107079037677394,Bray--Curtis
s028095,-0.102454608464232,0.10071698211161212,-0.023655601002921963,0.007262042867288802,-0.008623798902588567,Bray--Curtis
s029502,-0.20094116192589886,0.011409351117889953,-0.04347733869482445,0.04605634655752074,0.010976659863581468,Bray--Curtis
s021701,0.005079338601138165,-0.06802652177061821,-0.007069907076208386,-0.06039726833577578,-0.06630991957753501,Bray--Curtis
s027687,0.13417847636075736,0.1543851548161254,0.32082744200916413,0.09268794533384847,0.06988634501235422,Bray--Curtis
s029774,0.4434088545816418,-0.06661256472501688,-0.1496326573192642,0.17843532589353703,0.1325787738166129,Bray--Curtis
s029041,0.22612517877789315,-0.258496776951788,0.08130649161855505,0.07753924516538348,0.03983455862482761,Bray--Curtis
s029387,-0.19196031073019726,0.03748594465539425,0.01296795958912516,0.0196632056302247,-0.0236103684003201,Bray--Curtis
s027437,0.28764801482636976,0.050247873020719765,-0.1383052324779311,-0.15083233111148878,0.07068403263669365,Bray--Curtis
s026969,0.24198038311693604,0.11227850718994331,-0.1494469473019771,-0.11600302462269353,-0.048479451906058506,Bray--Curtis
s024923,0.5244499582394505,-0.3284859929734836,0.03427921345415242,0.5690775580608248,-0.11548572740297872,Bray--Curtis
s029957,-0.21485517893799602,0.008025171522078257,-0.01999289678685251,0.04612966251369795,-0.02179652383399945,Bray--Curtis
s024087,0.044403587525811423,-0.023493852728981034,-0.07392787673046317,-0.1001158292854092,-0.05086722637220673,Bray--Curtis
s028514,0.2086203164585719,0.13164625471569735,-0.20100232181285857,0.057016694491763206,0.08070596266153951,Bray--Curtis
s024904,-0.15452728986153533,-0.03720819363210627,-0.015720271135516373,-0.016124272523225066,-0.06493978587823242,Bray--Curtis
s025559,-0.2299701043813049,0.015387530757997979,-0.018441430560529576,0.046011547885132745,-0.016248310967190507,Bray--Curtis
s029295,0.35948953088735347,0.30973420236769256,0.36824581687814517,0.044463736724654354,-0.02893683132906125,Bray--Curtis
s029017,-0.10352104666556466,-0.05131819395936515,-0.0190830414947681,-0.03820684290266975,0.02255316532390843,Bray--Curtis
s023058,0.03171700330237312,-0.04507710447707702,-0.06271951759249363,-0.08003818706129681,-0.04240576722994215,Bray--Curtis
s029011,-0.20319754464727713,0.0016571117227077688,-0.01776526350948673,0.03558063615279051,-0.029775415742686887,Bray--Curtis
s024082,0.09071736689825104,-0.04068600783154683,0.09371580112252166,-0.08612600207974139,-0.031023698890518796,Bray--Curtis
s027847,-0.15522883127242273,0.05454815562126344,-0.07895732498808733,0.013357546451873084,-0.010553531007940459,Bray--Curtis
s026681,0.07306080214453059,-0.19526297661743497,0.018202652394796504,-0.1109498924505446,-0.06607628564246198,Bray--Curtis
s027788,-0.17699815835858695,-0.014126286901195736,-0.02908742428134199,0.022662293938637564,-0.026675043799889355,Bray--Curtis
s028686,-0.023283120593258086,-0.15116820574117454,7.552122768666606e-4,-0.051032065327986445,0.028970727343459367,Bray--Curtis
s024104,-1.2250750598151176e-4,0.21688644033376991,0.20006414379678564,-0.02898097254410873,-0.00263753198806862,Bray--Curtis
s027236,0.20310213940201519,-0.1221150683395924,0.14253635221329056,-0.11929050396339551,-0.2014770661887899,Bray--Curtis
s023991,-0.13888664088453137,0.15087554395531633,0.11877802113335603,0.043528002629333366,-0.0010514242393244338,Bray--Curtis
s028038,-0.13714561758684735,-0.0015980811822084292,-0.015154186279193205,0.008161878717091946,-0.04403956505403447,Bray--Curtis
s027257,-0.14289264533553286,0.07216795067989859,0.06617793027927174,0.0622934259521208,0.014720485310288717,Bray--Curtis
s021867,-0.1539020013137064,-0.050990603929269365,-0.021501902788910492,0.023656699178929843,-0.11238865968597674,Bray--Curtis
s029433,-0.22546733539951266,0.015039660531391693,-0.023615997253081243,0.04875450096047012,-0.01593825743355034,Bray--Curtis
s027228,-0.11178173229993105,0.09441611556360943,-0.10613754230344012,-0.004155253478021,0.013489073717340518,Bray--Curtis
s028969,-0.14841334890104982,-0.051350300640222224,0.010496847663130377,-0.027503438555028986,0.022138701956312408,Bray--Curtis
s021021,-0.17655386837299694,0.022019811021789973,-0.04166655912718438,0.021536235030876663,-0.003279102353602182,Bray--Curtis
s026977,-0.10531000168843757,0.07283876082289026,0.11380888842233472,-0.02103389335851869,-0.021130826045137194,Bray--Curtis
s025067,0.3809045452417681,-0.008238074109972352,-0.05221476562045282,0.038802974712211176,-0.21477105018620266,Bray--Curtis
s025691,-0.07561781327010689,-0.06536268126605925,0.01524435697807438,-0.07068663601465516,-0.12705331396385755,Bray--Curtis
s026325,-0.057397717975871426,-0.04232616154715654,-0.03675129856109421,8.464488484631044e-4,-0.10539109447379207,Bray--Curtis
