taxon_id,statistic,p_raw,p_adj,is_reference,method,n_perm,constraint,exceed0,method_used,mean_rel_non_ebf,mean_rel_ebf,mean_clr_non_ebf,mean_clr_ebf,log2_fc,clr_difference,prevalence_non_ebf,prevalence_ebf,taxon,method_label,panel_label,p_plot_raw,neglog10_p_raw,significant,direction,neglog10_p_display
Phascolarctobacterium,0.28960282326635284,0.7842157842157842,1,TRUE,dacomp,1000,NA,NA,NA,1.649903316110652e-4,2.6136036047964762e-5,-0.9043801300540785,-0.8551001343988794,-2.612817315167238,0.04927999565519903,0.0223463687150838,0.021333333333333333,Phascolarctobacterium,dacomp (1e+03),"dacomp
1000 permutations",0.7842157842157842,0.1055644207340661,FALSE,No difference,0.1055644207340661
Veillonella,3.284255394113786,0.053946053946053944,0.1575347729193883,FALSE,dacomp,1000,NA,NA,NA,0.004955886945956799,0.004227099160032673,1.8530937930277998,1.3118222386603304,-0.22942514285558774,-0.5412715543674693,0.6201117318435754,0.5066666666666667,Veillonella,dacomp (1e+03),"dacomp
1000 permutations",0.053946053946053944,1.2680403176563502,FALSE,No difference,1.2680403176563502
Negativicoccus,0.14132168695191308,0.7652347652347652,1,TRUE,dacomp,1000,NA,NA,NA,1.1468226266316499e-4,4.771854914938984e-5,-0.8104852505313089,-0.7796064695513871,-1.2476246005948115,0.030878780979921805,0.05027932960893855,0.04533333333333334,Negativicoccus,dacomp (1e+03),"dacomp
1000 permutations",0.7652347652347652,0.11620530784671473,FALSE,No difference,0.11620530784671473
Dialister,0.09718514054994414,1,1,TRUE,dacomp,1000,NA,NA,NA,8.003011727265234e-5,5.30159183742212e-5,-0.5170023405828474,-0.4455828922792237,-0.585073599501441,0.07141944830362373,0.18994413407821228,0.2,Dialister,dacomp (1e+03),"dacomp
1000 permutations",1,-0,FALSE,No difference,-0
Megasphaera,0.9563930078360394,0.5434565434565435,1,TRUE,dacomp,1000,NA,NA,NA,3.586149237551634e-5,2.843633386687649e-4,-0.8692091480673872,-0.8251021315878313,2.952613613872458,0.04410701647955595,0.0446927374301676,0.021333333333333333,Megasphaera,dacomp (1e+03),"dacomp
1000 permutations",0.5434565434565435,0.26483517778113874,FALSE,No difference,0.26483517778113874
Anaeroglobus,0.4773333333333335,1,1,TRUE,dacomp,1000,NA,NA,NA,2.2332251892149594e-5,5.5990687241205344e-06,-0.9638654954353786,-0.8940883783122237,-1.821991207029269,0.06977711712315493,0.01675977653631285,0.008,Anaeroglobus,dacomp (1e+03),"dacomp
1000 permutations",1,-0,FALSE,No difference,-0
Megamonas,0.4773333333333335,1,1,TRUE,dacomp,1000,NA,NA,NA,9.375410055643057e-6,8.954639221096629e-7,-0.9838131897009206,-0.9058478346007448,-2.4525454536904308,0.07796535510017577,0.0111731843575419,0.008,Megamonas,dacomp (1e+03),"dacomp
1000 permutations",1,-0,FALSE,No difference,-0
Streptococcus,16.659320420174875,9.99000999000999e-4,0.006771006771006771,FALSE,dacomp,1000,NA,NA,NA,0.08099641286533013,0.03336851947005966,6.312637144458961,5.672829420727983,-1.2793449161985115,-0.6398077237309776,1,0.9893333333333333,Streptococcus,dacomp (1e+03),"dacomp
1000 permutations",9.99000999000999e-4,3.000434077479319,TRUE,Higher in 'non-EBF',3.000434077479319
Lactococcus,28.83830401569446,9.99000999000999e-4,0.006771006771006771,FALSE,dacomp,1000,NA,NA,NA,0.008015469718903427,5.428926349295576e-5,0.4287364342881886,-0.5286209860882316,-7.179823880686143,-0.9573574203764201,0.3743016759776536,0.18133333333333335,Lactococcus,dacomp (1e+03),"dacomp
1000 permutations",9.99000999000999e-4,3.000434077479319,TRUE,Higher in 'non-EBF',3.000434077479319
Gemella,0.6316313875249572,0.46053946053946054,1,FALSE,dacomp,1000,NA,NA,NA,8.814941050625634e-4,4.746584909626913e-4,0.49674274860280426,0.5163234138928382,-0.8916605095242207,0.01958066529003394,0.44692737430167595,0.424,Gemella,dacomp (1e+03),"dacomp
1000 permutations",0.46053946053946054,0.3367331520896705,FALSE,No difference,0.3367331520896705
Staphylococcus,2.929333858665741,0.08291708291708291,0.211988011988012,FALSE,dacomp,1000,NA,NA,NA,0.0019316773241116604,0.0036024502233629016,1.4182451624363372,2.083891706168641,0.898778128449645,0.6656465437323036,0.5754189944134078,0.664,Staphylococcus,dacomp (1e+03),"dacomp
1000 permutations",0.08291708291708291,1.0813559851032448,FALSE,No difference,1.0813559851032448
Turicibacter,NA,NA,1,TRUE,dacomp,1000,NA,NA,NA,1.1505474379827064e-5,3.7142356606629093e-6,-0.9014205978738344,-0.8626776388346921,-1.4074640008120307,0.03874295903914238,0.055865921787709494,0.034666666666666665,Turicibacter,dacomp (1e+03),"dacomp
1000 permutations",NA,NA,FALSE,No difference,NA
Granulicatella,6.751503032039342,0.017982017982017984,0.07751072456954809,TRUE,dacomp,1000,NA,NA,NA,2.8179209670198453e-4,2.1691098966585052e-5,-0.6666444164181999,-0.8339730228171182,-3.639543413298311,-0.16732860639891822,0.0782122905027933,0.024,Granulicatella,dacomp (1e+03),"dacomp
1000 permutations",0.017982017982017984,1.7451615723760125,FALSE,No difference,1.7451615723760125
Enterococcus,75.63694571500957,9.99000999000999e-4,0.006771006771006771,FALSE,dacomp,1000,NA,NA,NA,0.05681543481577334,0.015645783696368355,5.433273943925273,3.7054547075214774,-1.8604421746693096,-1.7278192364037954,0.94972067039106145,0.8773333333333333,Enterococcus,dacomp (1e+03),"dacomp
1000 permutations",9.99000999000999e-4,3.000434077479319,TRUE,Higher in 'non-EBF',3.000434077479319
