SampleID,group,taxon_id,rarefied_count,taxon,taxon_plot
s022787,non-EBF,Bifidobacterium,56,Bifidobacterium,Bifidobacterium
s022787,non-EBF,Blautia,0,Blautia,Blautia
s022787,non-EBF,Enterococcus,0,Enterococcus,Enterococcus
s022787,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s022787,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s022787,non-EBF,Streptococcus,0,Streptococcus,Streptococcus
s022787,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s022787,non-EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s027576,EBF,Bifidobacterium,59,Bifidobacterium,Bifidobacterium
s027576,EBF,Blautia,4,Blautia,Blautia
s027576,EBF,Enterococcus,3,Enterococcus,Enterococcus
s027576,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s027576,EBF,Lactococcus,0,Lactococcus,Lactococcus
s027576,EBF,Streptococcus,22,Streptococcus,Streptococcus
s027576,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s027576,EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024828,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s024828,EBF,Blautia,0,Blautia,Blautia
s024828,EBF,Enterococcus,0,Enterococcus,Enterococcus
s024828,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024828,EBF,Lactococcus,0,Lactococcus,Lactococcus
s024828,EBF,Streptococcus,33,Streptococcus,Streptococcus
s024828,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024828,EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s028162,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s028162,EBF,Blautia,0,Blautia,Blautia
s028162,EBF,Enterococcus,0,Enterococcus,Enterococcus
s028162,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s028162,EBF,Lactococcus,0,Lactococcus,Lactococcus
s028162,EBF,Streptococcus,11,Streptococcus,Streptococcus
s028162,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s028162,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s022232,EBF,Bifidobacterium,36,Bifidobacterium,Bifidobacterium
s022232,EBF,Blautia,31,Blautia,Blautia
s022232,EBF,Enterococcus,4,Enterococcus,Enterococcus
s022232,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s022232,EBF,Lactococcus,0,Lactococcus,Lactococcus
s022232,EBF,Streptococcus,2,Streptococcus,Streptococcus
s022232,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s022232,EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026135,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s026135,EBF,Blautia,1,Blautia,Blautia
s026135,EBF,Enterococcus,0,Enterococcus,Enterococcus
s026135,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s026135,EBF,Lactococcus,0,Lactococcus,Lactococcus
s026135,EBF,Streptococcus,0,Streptococcus,Streptococcus
s026135,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026135,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026440,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s026440,EBF,Blautia,0,Blautia,Blautia
s026440,EBF,Enterococcus,16,Enterococcus,Enterococcus
s026440,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s026440,EBF,Lactococcus,0,Lactococcus,Lactococcus
s026440,EBF,Streptococcus,41,Streptococcus,Streptococcus
s026440,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026440,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s025269,EBF,Bifidobacterium,56,Bifidobacterium,Bifidobacterium
s025269,EBF,Blautia,0,Blautia,Blautia
s025269,EBF,Enterococcus,1,Enterococcus,Enterococcus
s025269,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s025269,EBF,Lactococcus,0,Lactococcus,Lactococcus
s025269,EBF,Streptococcus,1,Streptococcus,Streptococcus
s025269,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s025269,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s027852,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s027852,EBF,Blautia,1,Blautia,Blautia
