taxon_id,statistic,p_raw,p_adj,is_reference,method,n_perm,constraint,exceed0,method_used,mean_rel_non_ebf,mean_rel_ebf,mean_clr_non_ebf,mean_clr_ebf,log2_fc,clr_difference,prevalence_non_ebf,prevalence_ebf,taxon,method_label,panel_label
Phascolarctobacterium,0.28960282326635284,0.7842157842157842,1,TRUE,dacomp,1000,NA,NA,NA,1.649903316110652e-4,2.6136036047964762e-5,-0.9043801300540785,-0.8551001343988794,-2.612817315167238,0.04927999565519903,0.0223463687150838,0.021333333333333333,Phascolarctobacterium,dacomp (1e+03),"dacomp
1000 permutations"
Veillonella,3.284255394113786,0.053946053946053944,0.1575347729193883,FALSE,dacomp,1000,NA,NA,NA,0.004955886945956799,0.004227099160032673,1.8530937930277998,1.3118222386603304,-0.22942514285558774,-0.5412715543674693,0.6201117318435754,0.5066666666666667,Veillonella,dacomp (1e+03),"dacomp
1000 permutations"
Negativicoccus,0.14132168695191308,0.7652347652347652,1,TRUE,dacomp,1000,NA,NA,NA,1.1468226266316499e-4,4.771854914938984e-5,-0.8104852505313089,-0.7796064695513871,-1.2476246005948115,0.030878780979921805,0.05027932960893855,0.04533333333333334,Negativicoccus,dacomp (1e+03),"dacomp
1000 permutations"
Dialister,0.09718514054994414,1,1,TRUE,dacomp,1000,NA,NA,NA,8.003011727265234e-5,5.30159183742212e-5,-0.5170023405828474,-0.4455828922792237,-0.585073599501441,0.07141944830362373,0.18994413407821228,0.2,Dialister,dacomp (1e+03),"dacomp
1000 permutations"
Megasphaera,0.9563930078360394,0.5434565434565435,1,TRUE,dacomp,1000,NA,NA,NA,3.586149237551634e-5,2.843633386687649e-4,-0.8692091480673872,-0.8251021315878313,2.952613613872458,0.04410701647955595,0.0446927374301676,0.021333333333333333,Megasphaera,dacomp (1e+03),"dacomp
1000 permutations"
Anaeroglobus,0.4773333333333335,1,1,TRUE,dacomp,1000,NA,NA,NA,2.2332251892149594e-5,5.5990687241205344e-06,-0.9638654954353786,-0.8940883783122237,-1.821991207029269,0.06977711712315493,0.01675977653631285,0.008,Anaeroglobus,dacomp (1e+03),"dacomp
1000 permutations"
Megamonas,0.4773333333333335,1,1,TRUE,dacomp,1000,NA,NA,NA,9.375410055643057e-6,8.954639221096629e-7,-0.9838131897009206,-0.9058478346007448,-2.4525454536904308,0.07796535510017577,0.0111731843575419,0.008,Megamonas,dacomp (1e+03),"dacomp
1000 permutations"
Streptococcus,16.659320420174875,9.99000999000999e-4,0.006771006771006771,FALSE,dacomp,1000,NA,NA,NA,0.08099641286533013,0.03336851947005966,6.312637144458961,5.672829420727983,-1.2793449161985115,-0.6398077237309776,1,0.9893333333333333,Streptococcus,dacomp (1e+03),"dacomp
1000 permutations"
Lactococcus,28.83830401569446,9.99000999000999e-4,0.006771006771006771,FALSE,dacomp,1000,NA,NA,NA,0.008015469718903427,5.428926349295576e-5,0.4287364342881886,-0.5286209860882316,-7.179823880686143,-0.9573574203764201,0.3743016759776536,0.18133333333333335,Lactococcus,dacomp (1e+03),"dacomp
1000 permutations"
Gemella,0.6316313875249572,0.46053946053946054,1,FALSE,dacomp,1000,NA,NA,NA,8.814941050625634e-4,4.746584909626913e-4,0.49674274860280426,0.5163234138928382,-0.8916605095242207,0.01958066529003394,0.44692737430167595,0.424,Gemella,dacomp (1e+03),"dacomp
1000 permutations"
