SampleID,PCo1,PCo2,PCo3,PCo4,PCo5,distance
s025647,0.19064375624195623,-0.1394564220877327,0.13298790359418394,-0.05875115908262202,-0.2585756782693671,Bray--Curtis
s023779,-0.18191555453016547,-0.020944763913860954,-0.020205624351189704,0.02905037004123178,-0.05923125463834859,Bray--Curtis
s026625,-0.21975724244496003,0.008749883475980212,-0.021779171110889797,0.04097259191179448,-0.017404583614651702,Bray--Curtis
s022898,0.39977508820211166,0.336807455066768,0.4048650711748048,0.12799309246915577,-0.0388397132944094,Bray--Curtis
s022897,-0.18651462702074212,-0.0064623308780629215,-0.02908671195453864,0.0280130357267279,-0.005816898863729536,Bray--Curtis
s028386,0.07491054736013722,0.1935751957448998,0.2365619956844189,-0.041658314228493094,0.04137023219991895,Bray--Curtis
s023716,0.11294809893994949,-0.22439488334115204,0.056804885114326055,-0.11813833257189815,-0.07066396031804538,Bray--Curtis
s021517,0.29141070568584143,-0.021219008900436435,-0.08280647772573703,-0.03185086520373584,0.1630003162240788,Bray--Curtis
s021703,0.2788724419097176,0.2836519520634887,0.3974370654967151,0.038242034620740946,-0.021461995245397134,Bray--Curtis
s022787,0.19036096244175219,0.3045877180906914,0.09632054302698534,-0.05185161818156759,0.03393027902931925,Bray--Curtis
s027576,0.05804600177366895,0.05965695861892707,-0.04229564444766869,-0.1185493899716327,0.10227146811556405,Bray--Curtis
s024828,0.3196884865728225,0.18668066250242563,0.038045084666279906,-0.13159652782647474,0.11676205538547009,Bray--Curtis
s028162,-0.13418992078844594,-0.07175177206469978,-0.0035830611316632582,0.06297459752526079,0.08495977114161594,Bray--Curtis
s022232,0.37641494919771745,0.2719600863285971,0.4365763070387579,0.012315929513180513,-0.13090319742392714,Bray--Curtis
s026135,-0.2200640182303319,0.017300633149226113,-0.027035808737906022,0.04220042669701603,-0.014764068948629508,Bray--Curtis
s026440,0.24281187246957378,0.10710035687408957,0.31091283707725464,-0.10190548685582694,0.103938045035522,Bray--Curtis
s023225,0.19823495810091418,0.27644176506792656,0.3374181325409633,-0.03328973370984624,-0.009723384184519328,Bray--Curtis
s025269,0.2863533664795465,0.3377903362565197,0.10855278156517041,-0.07505686209436899,0.0026228829153789263,Bray--Curtis
s027852,-0.1739367157602076,0.08393507840014797,0.06501604113490383,0.04445645767885367,-0.02366558239718668,Bray--Curtis
s027078,-0.03158613767202164,0.025517204431757447,-0.089973154357362,-0.03548107533169784,-0.03148578820427743,Bray--Curtis
s023179,0.6045981682328492,0.4663883977918236,0.00649110375743177,0.060062319014451755,0.10131792614414784,Bray--Curtis
s028972,-0.18569424909006174,-0.020628460001608763,-0.021272884970170602,0.019030584102089954,0.0250781857694526,Bray--Curtis
s025044,-0.09885539814214485,-0.02027307353899895,-0.004815126280122676,-0.024223745086280342,-0.05558772194730675,Bray--Curtis
s021317,0.025530553818638113,0.12556013275282213,0.24473202141084852,0.058037008392727775,0.04136754548117745,Bray--Curtis
s021923,-0.1792473473437358,0.029010690255029906,-0.05318698518539565,0.019789024347216678,-0.014857719720178353,Bray--Curtis
s024892,0.16787144011082458,-0.12801599785481516,0.1543717866499567,-0.042459967774659255,-0.16004216300668886,Bray--Curtis
s029001,0.007251059183683433,0.09750751796892589,0.20554884593383518,0.09319664561181677,0.07254067343846837,Bray--Curtis
s021931,-0.16178709962404295,-0.02346170899802253,-0.024954337480600268,0.009390001623206414,0.03697470938297077,Bray--Curtis
s021400,0.04480389295671,-0.03269393454465539,-0.09685345641828165,-0.11424306245056665,0.06407310860434559,Bray--Curtis
s024280,-0.1595268178410927,0.015945918039521542,-0.05200388054923913,0.007923828187585844,0.007947625368729961,Bray--Curtis
