taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.zero,p.combined,p.adj.nonzero,p.adj.zero,p.adj.combined,n_nonzero_group1,n_nonzero_group2,n_group1,n_group2,zero_prevalence_estimate,zero_prevalence_z,taxon,p_permapprox_unconstrained,p_permapprox_constrained,p_combined_permapprox_unconstrained,p_combined_permapprox_constrained,p_adj_permapprox_unconstrained,p_adj_permapprox_constrained,p_adj_combined_permapprox_unconstrained,p_adj_combined_permapprox_constrained,fisher_statistic_permapprox_constrained,method_used_unconstrained,method_used_constrained,shape_permapprox_unconstrained,shape_permapprox_constrained,scale_permapprox_unconstrained,scale_permapprox_constrained,neglog10_p_combined,significance_class,label_taxon
Romboutsia,0.6770325197283011,0.45837303276965247,0.46499008431008193,0.6819018142739334,0.007947859754665332,0.3298884026064459,0.12715382194897068,0.9179613295746482,0.002289481040754845,0.0545562073734075,230,-0.26492752187093493,1.71,70.95,27.35,0.014435952962692511,0.5242798543906565,0.009272731654593682,0.016598737545472628,0.7240055132061447,0.040181837169905955,82,171,179,375,0.12742614808463326,0.6367621040731848,Romboutsia,0.0029971813507205644,0.003520852457622925,0.011715779195336335,0.013465525376047175,0.021062459481859138,0.022938455238449628,0.047267109167391415,0.05178312902415567,12.589563614387336,gpd,gpd,NA,NA,NA,NA,1.8707766973236173,not_significant,Romboutsia
Solobacterium,1.3324390812724631,1.7753939053022056,1.7901722807757232,1.337973198825643,1.0415145176702583,0.6636426515936396,0.08501511151182528,0.8699741036649106,0.11611611611611612,NA,NA,NA,58.18,37.07,4.75,0.008323998088188844,0.002465857833042449,0.0026222808285903294,0.3207016540349874,0.02600359169390219,0.013945766224775844,11,3,179,375,-1.8437647497034746,-3.02727850764538,Solobacterium,0.117,0.117,0.0026400540047005695,0.0026400540047005695,0.3231428571428572,0.3231428571428572,0.014486875331286113,0.014486875185260973,16.301593741841213,empirical,empirical,NA,NA,NA,NA,2.5783871891515453,not_significant,Solobacterium
Holdemanella,2.5000798604208683,6.250399308482028,6.543294227724817,2.557986361911419,2.930441264667724,2.496195759667041,1.1166572033900526,0.8704188088850259,0.004294467245289289,0.09906293492304913,250,-0.09149598863002531,44.79,38.15,17.07,0.04686019321122714,0.8645380012848547,0.02448912259437366,0.027675455580753194,0.9372561509256367,0.0868250710164157,15,30,179,375,0.05652250724963668,0.17060101465009936,Holdemanella,0.0035594149494328044,0.003559415468035287,0.02087519612977766,0.020875198722917078,0.02293845189634474,0.022938455238449628,0.07401205900557534,0.07401206819943328,11.56743791853276,gpd,gpd,NA,NA,NA,NA,1.6803693815279281,not_significant,Holdemanella
Faecalicoccus,2.3580514685182195,5.560406728180931,6.052367661165278,2.4601560237442825,1.808746945150408,3.185959705790223,1.0576610102246473,0.7973585078623243,0.46846846846846846,NA,NA,NA,29.88,52.64,17.48,0.08847570996758547,0.06519436637302019,0.13709069745475064,0.7011627011627012,0.20516223333349637,0.26294445249517745,6,3,179,375,-1.2162835849026754,-1.8434767473556384,Faecalicoccus,0.469,0.469,0.13721157015636104,0.13721157015636104,0.7019487179487179,0.7019487179487179,0.2631762902999056,0.2631762902999056,6.975069459280637,empirical,empirical,NA,NA,NA,NA,0.8626092658654203,not_significant,Faecalicoccus
Faecalitalea,4.118228453065116,16.9598055916351,18.459092615573073,4.296404614974371,11.44680418880534,4.20386852912161,2.8084198976461257,0.6938879668829265,0.015015015015015015,NA,NA,NA,62.01,22.77,15.21,0.0884023708784405,0.7595090437407696,0.06242329138553414,0.08294008294008294,0.899010704836013,0.1587722846110325,5,8,179,375,-0.16959386404167748,-0.3061179328161347,Faecalitalea,0.016,0.016,0.06574613607767285,0.06574613607767285,0.08838095238095238,0.08838095238095238,0.16366591321463242,0.16366591321463242,8.82049921253355,empirical,empirical,NA,NA,NA,NA,1.1821297657196477,not_significant,Faecalitalea
[Clostridium]_innocuum_group,1.9725022345890584,3.8907650654588286,3.920175862091691,1.979943398709087,1.6798433910053885,1.3985326886282083,0.8417997824580936,0.8234948770987772,3.1568518898950064e-6,0.6702267465561936,250,0.07117955525509262,42.85,35.68,21.47,0.007559129409782095,0.28254286154824176,1.3316628658197814e-5,4.285124265734108e-5,0.48272590098919305,1.298371294174287e-4,84,149,179,375,-0.2118085812729126,-1.0746246018938457,[Clostridium]_innocuum_group,4.463642800451448e-6,4.463642800451448e-6,1.8392241304296053e-5,1.8392241304296053e-5,5.753139609470756e-5,5.753139609470756e-5,1.793243527168865e-4,1.793243527168865e-4,27.16694074303304,gpd,gpd,NA,NA,NA,NA,4.7353653438028935,combined_bh_significant,[Clostridium]_innoc...
Erysipelotrichaceae_UCG-003,0.5857414219207742,0.34309301335377035,0.3489857925570874,0.5907501947160808,0.009594404560855516,0.14789099130363362,0.19150039669259827,0.8580824947057424,0.021021021021021023,NA,NA,NA,2.75,42.38,54.87,0.01717545672444487,0.06543967787361522,0.010439301351499822,0.10601906254080168,0.20516223333349637,0.04362136636162426,95,217,179,375,0.37990341000366795,1.8422424248941294,Erysipelotrichaceae_UCG-003,0.022,0.022,0.01085994131552464,0.01085994131552464,0.11095652173913043,0.11095652173913043,0.04599340797833953,0.04599340797833953,13.086678669585574,empirical,empirical,NA,NA,NA,NA,1.964172521562336,not_significant,Erysipelotrichaceae...
Erysipelatoclostridium,0.8284435448118052,0.6863187069403495,0.6902239242231256,0.8307971619012222,0.21695203432797294,0.08502595201459212,0.3882459378805606,0.9187303794223804,1.1478268258013826e-8,0.5543834308591148,250,-0.12909851594657015,31.43,12.32,56.25,0.0056900930184256016,0.08056412827147923,2.0160657830832672e-8,2.6629582358592073e-7,0.21733578789515326,3.36970995172489e-7,156,340,179,375,0.5744252637729346,1.7474516363424826,Erysipelatoclostridium,7.197371996811846e-9,6.837574424138627e-8,1.2912245745183931e-8,1.1026601303943228e-7,2.0872378790754353e-7,1.5863172664001616e-6,2.5178879203108666e-7,1.8430176465162253e-6,38.03389895753445,gpd,gpd,NA,NA,NA,NA,6.957558328212271,combined_bh_significant,Erysipelatoclostridium
Eubacterium,2.197155324001377,4.827491517787595,4.846553580753042,2.201488946316343,3.427302054477999,1.102401165271318,0.3168503610037249,0.961261238392182,0.07907907907907907,NA,NA,NA,70.72,22.75,6.54,0.003948647635155789,0.8118569785278185,0.24047976001136187,0.26979921097568155,0.9263658848071046,0.39077961001846306,8,14,179,375,-0.10532018454836377,-0.23802944497229872,Eubacterium,0.08,0.08,0.2425282910837813,0.2425282910837813,0.27294117647058824,0.27294117647058824,0.3941084730111446,0.3941084730111446,5.4683194669204624,empirical,empirical,NA,NA,NA,NA,0.6152375933713181,not_significant,Eubacterium
Christensenellaceae_R-7_group,0.8765542526975154,0.7683473579220997,0.8922453182256205,0.9445873798784422,0.34143148165673215,0.36898700926950817,0.18182682729938013,0.9329458162719045,0.6146146146146146,NA,NA,NA,38.27,41.35,20.38,0.16125253640305015,0.23747640497529243,0.4268419375951242,0.7825216520868695,0.43453717408024395,0.5740288126279256,6,5,179,375,-0.7067183023883535,-1.181125490153667,Christensenellaceae_R-7_group,0.615,0.615,0.4270180341610115,0.4270180341610115,0.783,0.783,0.5742656321475672,0.5742656321475672,3.8476400381816007,empirical,empirical,NA,NA,NA,NA,0.369553783121992,not_significant,Christensenellaceae...
Stenotrophomonas,1.9074634380959796,3.638416767672935,3.6357853361975176,1.9067735408793351,3.633621898951406,1.0233538608423209e-4,0.0020611018600272058,0.990176763187644,0.062062062062062065,NA,NA,NA,99.94,0,0.06,7.232353090490529e-4,0.9833698130390301,0.231693548947238,0.22497497497497498,0.9833698130390301,0.3872592175260978,2,4,179,375,0.016403946709438358,0.02084460598941168,Stenotrophomonas,0.063,0.063,0.23426583650681823,0.23426583650681823,0.228375,0.228375,0.3915586124471105,0.3915586124471105,5.562781147178613,empirical,empirical,NA,NA,NA,NA,0.6302910408882096,not_significant,Stenotrophomonas
Pseudomonas,0.493558582550004,0.24360007440876913,0.24475283391036562,0.4947250083737082,0.07871229549462569,0.0029373460196519146,0.163103192396088,0.8607271688853784,0.7267267267267268,NA,NA,NA,32.16,1.2,66.64,0.004732180416587628,0.19325353210659948,0.4161251196386375,0.851131131131131,0.38027900067805803,0.5689953445650852,2,11,179,375,0.8997657939791238,1.3011879133926008,Pseudomonas,0.727,0.727,0.4162287754864322,0.4162287754864322,0.85144,0.85144,0.5705458939153402,0.5705458939153402,3.9251622314703427,empirical,empirical,NA,NA,NA,NA,0.38066789864871253,not_significant,Pseudomonas
Halomonas,1.019355724547413,1.0390860931675812,1.1180793848603177,1.0573927297179215,0.20465407742173955,0.11196493304597145,0.8014603743926065,0.7084383618917904,0.36236236236236236,NA,NA,NA,18.3,10.01,71.68,0.07602189290391803,0.8923289444139932,0.6884145641308389,0.6091888990439714,0.9410014322911201,0.7701229419309317,6,12,179,375,-0.06630792986462489,-0.13535744290749346,Halomonas,0.363,0.363,0.6890564627229413,0.6890564627229413,0.6102608695652173,0.6102608695652173,0.7701988490124442,0.7701988490124442,2.2545457746688853,empirical,empirical,NA,NA,NA,NA,0.16174518963909426,not_significant,Halomonas
8_Comamonadaceae(F),0.6339802208464902,0.40193092042456446,0.8195095960325347,0.9052676930237458,0.015734900921233575,0.39887088138766813,0.40490381372363304,0.590603029827858,0.35835835835835833,NA,NA,NA,1.92,48.67,49.41,1.038931454108773,0.6272381421542368,0.5602881511993024,0.6091888990439714,0.7997360189786727,0.6689154458195754,2,6,179,375,0.3599652826943727,0.48567078628819205,8_Comamonadaceae(F),0.359,0.359,0.560888526497926,0.560888526497926,0.6102608695652173,0.6102608695652173,0.6696322204107892,0.6696322204107892,2.9817237778103753,empirical,empirical,NA,NA,NA,NA,0.2511234438015071,not_significant,8_Comamonadaceae(F)
Delftia,0.8759007269000155,0.7672020833839756,0.8352679533509417,0.9139299499146211,0.2801629090761687,0.3659540463940713,0.18915099788070183,0.9507379008621317,0.3103103103103103,NA,NA,NA,33.54,43.81,22.65,0.08871961044049992,0.22791086827090334,0.25806737098758836,0.5537845537845538,0.42641388257136753,0.40802543791280865,10,13,179,375,-0.5076103766938944,-1.2057323708964687,Delftia,0.311,0.311,0.25848358420349477,0.25848358420349477,0.5550153846153847,0.5550153846153847,0.4086835047541742,0.4086835047541742,5.293526043799016,empirical,empirical,NA,NA,NA,NA,0.5875670329035677,not_significant,Delftia
Sutterella,1.4265081071123933,2.034925379657383,2.00488521576494,1.415939693548048,1.3387170689680836,0.3261098210112567,0.3400583257855994,0.6825160822480826,0.15715715715715717,NA,NA,NA,66.77,16.27,16.96,0.014762292609226346,0.06741455186198837,0.058772959610605524,0.41432341432341435,0.20579178989449085,0.15280969498757438,2,15,179,375,1.2358737573276861,1.8290984086246334,Sutterella,0.158,0.158,0.059031190397141685,0.059031190397141685,0.41654545454545455,0.41654545454545455,0.15348109503256838,0.15348109503256838,9.084109254651768,empirical,empirical,NA,NA,NA,NA,1.2289184588981132,not_significant,Sutterella
